Idade;Sexo;Tipo de Assinatura;Valor da Assinatura;Modalidade;Cidade de Entrega;Nome do Bairro;Número Exemplares;Número Exemplares Entregues;Quantidade Parcelas Contrato;Data de Validade Inicial;Data de Validade Final
78;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Aclimação;261;222;12;01/01/2023 00:00;24/05/2024 00:00
72;M;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;236;12;17/01/2023 00:00;04/05/2024 00:00
72;M;Combo;468;Anual;São José do Rio Preto;Parque Residencial Comendador Mancor Daud;104;100;12;11/02/2023 00:00;27/04/2024 00:00
56;M;Combo;780;Anual;São José do Rio Preto;Parque Residencial Comendador Mancor Daud;156;146;12;14/02/2023 00:00;06/05/2024 00:00
86;F;Impressa;1251,75;Anual;São José do Rio Preto;Residencial Marcia;261;264;12;19/02/2023 00:00;02/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Tarraf;261;261;12;05/03/2023 00:00;03/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Redentor;261;258;1;07/03/2023 00:00;06/04/2024 00:00
45;M;Combo;468;Anual;São José do Rio Preto;Jardim Seyon;104;104;12;11/03/2023 00:00;06/04/2024 00:00
64;F;Impressa;1251,75;Anual;São José do Rio Preto;Parque Residencial Damha;261;248;8;15/03/2023 00:00;24/04/2024 00:00
64;F;Impressa;1251,75;Anual;São José do Rio Preto;Parque Residencial Damha;261;252;12;15/03/2023 00:00;23/04/2024 00:00
61;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila São José;261;249;1;16/03/2023 00:00;23/04/2024 00:00
54;M;Impressa;1251,75;Anual;Palestina;A DEFINIR;261;248;12;21/03/2023 00:00;24/04/2024 00:00
124;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Palmeiras;261;217;1;22/03/2023 00:00;10/06/2024 00:00
57;M;Impressa;1251,75;Anual;São José do Rio Preto;Residencial Marcia;261;257;12;23/03/2023 00:00;10/04/2024 00:00
80;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim dos Seixas;261;256;12;25/03/2023 00:00;09/04/2024 00:00
86;F;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;241;12;25/03/2023 00:00;03/05/2024 00:00
53;M;Impressa;1251,75;Anual;Mirassol;JARDIM MARILU;261;255;10;26/03/2023 00:00;16/04/2024 00:00
53;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Palmeiras;261;257;10;28/03/2023 00:00;09/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Estrela;261;258;12;28/03/2023 00:00;08/04/2024 00:00
54;M;Digital;1251,75;Anual;São José do Rio Preto;Parque Industrial;261;263;12;28/03/2023 00:00;06/04/2024 00:00
55;F;Impressa;1251,75;Anual;São José do Rio Preto;Parque Residencial Damha;261;258;10;28/03/2023 00:00;08/04/2024 00:00
55;F;Impressa;1251,75;Anual;Guapiaçu;A DEFINIR;261;260;12;28/03/2023 00:00;03/04/2024 00:00
63;M;Digital;1251,75;Anual;Populina;A DEFINIR;261;256;12;28/03/2023 00:00;17/04/2024 00:00
77;M;Impressa;1251,75;Anual;Mirassol;A DEFINIR;261;260;10;29/03/2023 00:00;05/04/2024 00:00
61;F;Combo;780;Anual;General Salgado;A DEFINIR;156;155;12;29/03/2023 00:00;08/04/2024 00:00
52;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Residencial Comendador Mancor Daud;261;260;8;30/03/2023 00:00;03/04/2024 00:00
51;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Ercília;261;255;1;01/04/2023 00:00;10/04/2024 00:00
78;F;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Caparroz;261;262;12;01/04/2023 00:00;02/04/2024 00:00
52;M;Combo;468;Anual;São José do Rio Preto;Loteamento Parque dos Pássaros;104;104;12;01/04/2023 00:00;05/04/2024 00:00
52;M;Combo;468;Anual;São José do Rio Preto;RESIDENCIAL FRATERNIDADE;104;105;12;01/04/2023 00:00;05/04/2024 00:00
52;M;Impressa;1251,75;Anual;Tanabi;A DEFINIR;261;257;10;01/04/2023 00:00;03/04/2024 00:00
86;M;Impressa;1251,75;Anual;Olímpia;A DEFINIR;261;258;10;01/04/2023 00:00;06/04/2024 00:00
86;M;Combo;468;Anual;General Salgado;A DEFINIR;104;100;12;01/04/2023 00:00;06/04/2024 00:00
74;M;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;258;11;02/04/2023 00:00;06/04/2024 00:00
86;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Elvira;261;261;12;02/04/2023 00:00;02/04/2024 00:00
86;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Dório;261;258;10;02/04/2023 00:00;06/04/2024 00:00
83;M;Impressa;1251,75;Anual;Olímpia;JD PRIMAVERA;261;259;12;02/04/2023 00:00;05/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Conjunto Habitacional Cristo Rei;261;261;10;04/04/2023 00:00;02/04/2024 00:00
78;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Maria Cândida;261;260;12;04/04/2023 00:00;02/04/2024 00:00
73;F;Digital;1251,75;Anual;São José do Rio Preto;Jardim Morumbi;261;261;12;04/04/2023 00:00;02/04/2024 00:00
61;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Imperial;261;260;12;04/04/2023 00:00;02/04/2024 00:00
60;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Maria;261;259;6;04/04/2023 00:00;03/04/2024 00:00
60;M;Digital;1251,75;Anual;São José do Rio Preto;Centro;261;262;12;04/04/2023 00:00;02/04/2024 00:00
95;F;Combo;780;Anual;São José do Rio Preto;Vila Redentora;156;161;12;04/04/2023 00:00;02/04/2024 00:00
67;F;Impressa;1251,75;Anual;São José do Rio Preto;Estância Jóckei Club;261;258;10;04/04/2023 00:00;06/04/2024 00:00
56;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Industrial;261;261;10;04/04/2023 00:00;02/04/2024 00:00
56;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Dias;261;254;10;04/04/2023 00:00;13/04/2024 00:00
56;M;Impressa;1251,75;Anual;São José do Rio Preto;São Francisco;261;260;10;04/04/2023 00:00;02/04/2024 00:00
57;M;Impressa;1251,75;Anual;São José do Rio Preto;São Francisco;261;260;12;04/04/2023 00:00;02/04/2024 00:00
57;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Vivendas;261;260;10;04/04/2023 00:00;02/04/2024 00:00
79;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Felicidade;261;259;8;04/04/2023 00:00;03/04/2024 00:00
79;M;Impressa;1251,75;Anual;São José do Rio Preto;Morada Campestre;261;261;11;04/04/2023 00:00;02/04/2024 00:00
84;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque da Liberdade;261;261;12;04/04/2023 00:00;02/04/2024 00:00
